Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Uzbekistan,2001,24964450,11401421329,456.7062895,0,232,0,Asia
Venezuela,2001,24646471,1.22904E+11,4986.675788,0,1274,0,SAM
Vietnam,2001,80742500,32685198735,404.8078612,0.108,8,0.001337586,Asia
Algeria,2002,31855110,56760355865,1781.828908,0,434,0,Africa
Argentina,2002,37681743,97724004252,2593.404563,25.8,613,0.684681704,SAM
Australia,2002,19651400,3.95343E+11,20117.78889,141.822,829,7.2168904,Oceania
Austria,2002,8081957,2.13378E+11,26401.74546,118,201,14.60042413,Europe
Azerbaijan,2002,8171950,6235856820,763.080638,0,325,0,Asia
Bahrain,2002,735140,9593510638,13049.90973,0,260,0,Asia
Bangladesh,2002,132478077,54724081491,413.0802826,0,36,0,Asia
Belarus,2002,9865548,14594249023,1479.314583,0,500,0,Europe
Belgium,2002,10332785,2.57158E+11,24887.56133,32,780,3.096938531,Europe
Brazil,2002,179537523,5.09795E+11,2839.491501,22,1853.544497,0.122537059,SAM
Bulgaria,2002,7837161,16402846413,2092.957694,0,120,0,Europe
Canada,2002,31360079,7.60649E+11,24255.33858,280,1922.637899,8.928548936,NAM
Chile,2002,15684413,69736811435,4446.249371,2,218,0.127515132,SAM
China,2002,1280400000,1.47055E+12,1148.50829,527.23,6877.710865,0.411769759,Asia
Colombia,2002,40875363,97963003805,2396.627127,0,324,0,SAM
Costa Rica,2002,4100922,16578820687,4042.705686,207,0,50.47645383,NAM
Croatia,2002,4302174,27074550258,6293.225299,0,0,0,Europe
Curacao,2002,129205,0,0,0,320,0,SAM
Czech Republic,2002,10196916,82196001051,8060.868703,0.2,200,0.019613773,Europe
Denmark,2002,5375931,1.78635E+11,33228.69354,2896.5,189,538.7903974,Europe
Ecuador,2002,13143465,28548945000,2172.101877,0,177,0,SAM
Egypt,2002,71485044,85146067416,1191.103239,69.6,810,0.973630232,Africa
El Salvador,2002,5962139,12664190300,2124.10182,161.2,0,27.03727639,NAM
Ethiopia,2002,70142090,7850809498,111.9272251,7.3,0,0.104074458,Africa
Finland,2002,5200598,1.39738E+11,26869.6749,43,261,8.268279917,Europe
France,2002,61805266,1.49429E+12,24177.33556,146,1987,2.362258258,Europe
Germany,2002,82488495,2.06862E+12,25077.72908,12261,2286,148.6389102,Europe
Greece,2002,10902022,1.53831E+11,14110.31337,288,412,26.41711785,Europe
Guatemala,2002,12147518,20444205991,1682.994501,29,0,2.387318957,NAM
Honduras,2002,6929267,7775251510,1122.0886,2,0,0.288630818,NAM
Hungary,2002,10158608,67608919144,6655.333009,0,165,0,Europe
Iceland,2002,287523,9318395055,32409.21615,202,0,702.5524915,Europe
India,2002,1093317187,5.14938E+11,470.9867868,1708.705,2303.038706,1.562863019,Asia
Indonesia,2002,217357790,1.95661E+11,900.1775881,785,1004.15,3.611556779,Asia
Iran,2002,67284801,1.28627E+11,1911.678649,12,1647,0.17834637,Asia
Iraq,2002,24931922,32928454672,1320.734706,0,718,0,Asia
Ireland,2002,3931947,1.27986E+11,32550.27907,134.8,75,34.28326984,Europe
